"seqName","subtype","Htype","Ntype","host","host2","accn","isName","place","country","region","continent","dateTxt","decDate","seg","segNumber","birdOrder","wildDom","shortLong","avHost3","avHost4","avHost5","beastNames","len"
"H5N5_Avian_GU727663_A/duck/Eastern China/031/2009_China_2009/01/15_6 (NA)","H5N5","H5","N5","Avian","duck","GU727663","A/duck/Eastern China/031/2009","Eastern China","China","EasternAsia","Asia","2009/01/15","2009.03835616438","6 (NA)","6","ans","Dom","Short","Dom-ans","Dom-ans","Dom-ans","H5N5_Avian_GU727663_A/duck/Eastern_China/031/2009|2009.038","1466"
"H5N5_Avian_GU727664_A/duck/Eastern China/031/2009_China_2009/01/15_7 (MP)","H5N5","H5","N5","Avian","duck","GU727664","A/duck/Eastern China/031/2009","Eastern China","China","EasternAsia","Asia","2009/01/15","2009.03835616438","7 (MP)","7","ans","Dom","Short","Dom-ans","Dom-ans","Dom-ans","H5N5_Avian_GU727664_A/duck/Eastern_China/031/2009|2009.038","1027"
"H5N5_Avian_GU727665_A/duck/Eastern China/031/2009_China_2009/01/15_8 (NS)","H5N5","H5","N5","Avian","duck","GU727665","A/duck/Eastern China/031/2009","Eastern China","China","EasternAsia","Asia","2009/01/15","2009.03835616438","8 (NS)","8","ans","Dom","Short","Dom-ans","Dom-ans","Dom-ans","H5N5_Avian_GU727665_A/duck/Eastern_China/031/2009|2009.038","875"
"H5N5_Avian_JX878680_A/duck/HuBei/03/2010_China_2010/03/28_1 (PB2)","H5N5","H5","N5","Avian","duck","JX878680","A/duck/HuBei/03/2010","HuBei","China","EasternAsia","Asia","2010/03/28","2010.23561643836","1 (PB2)","1","ans","Dom","Short","Dom-ans","Dom-ans","Dom-ans","H5N5_Avian_JX878680_A/duck/HuBei/03/2010|2010.236","2341"
"H5N5_Avian_JX878681_A/duck/HuBei/03/2010_China_2010/03/28_2 (PB1)","H5N5","H5","N5","Avian","duck","JX878681","A/duck/HuBei/03/2010","HuBei","China","EasternAsia","Asia","2010/03/28","2010.23561643836","2 (PB1)","2","ans","Dom","Short","Dom-ans","Dom-ans","Dom-ans","H5N5_Avian_JX878681_A/duck/HuBei/03/2010|2010.236","2341"
"H5N5_Avian_JX878682_A/duck/HuBei/03/2010_China_2010/03/28_3 (PA)","H5N5","H5","N5","Avian","duck","JX878682","A/duck/HuBei/03/2010","HuBei","China","EasternAsia","Asia","2010/03/28","2010.23561643836","3 (PA)","3","ans","Dom","Short","Dom-ans","Dom-ans","Dom-ans","H5N5_Avian_JX878682_A/duck/HuBei/03/2010|2010.236","2233"
"H5N5_Avian_JX878683_A/duck/HuBei/03/2010_China_2010/03/28_4 (HA)","H5N5","H5","N5","Avian","duck","JX878683","A/duck/HuBei/03/2010","HuBei","China","EasternAsia","Asia","2010/03/28","2010.23561643836","4 (HA)","4","ans","Dom","Short","Dom-ans","Dom-ans","Dom-ans","H5N5_Avian_JX878683_A/duck/HuBei/03/2010|2010.236","1776"
"H5N5_Avian_JX878684_A/duck/HuBei/03/2010_China_2010/03/28_5 (NP)","H5N5","H5","N5","Avian","duck","JX878684","A/duck/HuBei/03/2010","HuBei","China","EasternAsia","Asia","2010/03/28","2010.23561643836","5 (NP)","5","ans","Dom","Short","Dom-ans","Dom-ans","Dom-ans","H5N5_Avian_JX878684_A/duck/HuBei/03/2010|2010.236","1565"
"H5N5_Avian_JX878685_A/duck/HuBei/03/2010_China_2010/03/28_6 (NA)","H5N5","H5","N5","Avian","duck","JX878685","A/duck/HuBei/03/2010","HuBei","China","EasternAsia","Asia","2010/03/28","2010.23561643836","6 (NA)","6","ans","Dom","Short","Dom-ans","Dom-ans","Dom-ans","H5N5_Avian_JX878685_A/duck/HuBei/03/2010|2010.236","1467"
"H5N5_Avian_JX878686_A/duck/HuBei/03/2010_China_2010/03/28_7 (MP)","H5N5","H5","N5","Avian","duck","JX878686","A/duck/HuBei/03/2010","HuBei","China","EasternAsia","Asia","2010/03/28","2010.23561643836","7 (MP)","7","ans","Dom","Short","Dom-ans","Dom-ans","Dom-ans","H5N5_Avian_JX878686_A/duck/HuBei/03/2010|2010.236","1027"
"H5N5_Avian_JX878687_A/duck/HuBei/03/2010_China_2010/03/28_8 (NS)","H5N5","H5","N5","Avian","duck","JX878687","A/duck/HuBei/03/2010","HuBei","China","EasternAsia","Asia","2010/03/28","2010.23561643836","8 (NS)","8","ans","Dom","Short","Dom-ans","Dom-ans","Dom-ans","H5N5_Avian_JX878687_A/duck/HuBei/03/2010|2010.236","875"
"H5N5_Avian_JQ973683_A/goose/Guangdong/k0103/2010_China_2010/01/27_1 (PB2)","H5N5","H5","N5","Avian","goose","JQ973683","A/goose/Guangdong/k0103/2010","Guangdong","China","EasternAsia","Asia","2010/01/27","2010.07123287671","1 (PB2)","1","ans","Dom","Short","Dom-ans","Dom-ans","Dom-ans","H5N5_Avian_JQ973683_A/goose/Guangdong/k0103/2010|2010.071","2312"
"H5N5_Avian_JQ973684_A/goose/Guangdong/k0103/2010_China_2010/01/27_2 (PB1)","H5N5","H5","N5","Avian","goose","JQ973684","A/goose/Guangdong/k0103/2010","Guangdong","China","EasternAsia","Asia","2010/01/27","2010.07123287671","2 (PB1)","2","ans","Dom","Short","Dom-ans","Dom-ans","Dom-ans","H5N5_Avian_JQ973684_A/goose/Guangdong/k0103/2010|2010.071","2341"
"H5N5_Avian_JQ973685_A/goose/Guangdong/k0103/2010_China_2010/01/27_3 (PA)","H5N5","H5","N5","Avian","goose","JQ973685","A/goose/Guangdong/k0103/2010","Guangdong","China","EasternAsia","Asia","2010/01/27","2010.07123287671","3 (PA)","3","ans","Dom","Short","Dom-ans","Dom-ans","Dom-ans","H5N5_Avian_JQ973685_A/goose/Guangdong/k0103/2010|2010.071","2163"
"H5N5_Avian_JQ973686_A/goose/Guangdong/k0103/2010_China_2010/01/27_4 (HA)","H5N5","H5","N5","Avian","goose","JQ973686","A/goose/Guangdong/k0103/2010","Guangdong","China","EasternAsia","Asia","2010/01/27","2010.07123287671","4 (HA)","4","ans","Dom","Short","Dom-ans","Dom-ans","Dom-ans","H5N5_Avian_JQ973686_A/goose/Guangdong/k0103/2010|2010.071","1779"
"H5N5_Avian_JQ973687_A/goose/Guangdong/k0103/2010_China_2010/01/27_5 (NP)","H5N5","H5","N5","Avian","goose","JQ973687","A/goose/Guangdong/k0103/2010","Guangdong","China","EasternAsia","Asia","2010/01/27","2010.07123287671","5 (NP)","5","ans","Dom","Short","Dom-ans","Dom-ans","Dom-ans","H5N5_Avian_JQ973687_A/goose/Guangdong/k0103/2010|2010.071","1521"
"H5N5_Avian_JQ973688_A/goose/Guangdong/k0103/2010_China_2010/01/27_6 (NA)","H5N5","H5","N5","Avian","goose","JQ973688","A/goose/Guangdong/k0103/2010","Guangdong","China","EasternAsia","Asia","2010/01/27","2010.07123287671","6 (NA)","6","ans","Dom","Short","Dom-ans","Dom-ans","Dom-ans","H5N5_Avian_JQ973688_A/goose/Guangdong/k0103/2010|2010.071","1466"
"H5N5_Avian_JQ973689_A/goose/Guangdong/k0103/2010_China_2010/01/27_7 (MP)","H5N5","H5","N5","Avian","goose","JQ973689","A/goose/Guangdong/k0103/2010","Guangdong","China","EasternAsia","Asia","2010/01/27","2010.07123287671","7 (MP)","7","ans","Dom","Short","Dom-ans","Dom-ans","Dom-ans","H5N5_Avian_JQ973689_A/goose/Guangdong/k0103/2010|2010.071","1027"
"H5N5_Avian_JQ973690_A/goose/Guangdong/k0103/2010_China_2010/01/27_8 (NS)","H5N5","H5","N5","Avian","goose","JQ973690","A/goose/Guangdong/k0103/2010","Guangdong","China","EasternAsia","Asia","2010/01/27","2010.07123287671","8 (NS)","8","ans","Dom","Short","Dom-ans","Dom-ans","Dom-ans","H5N5_Avian_JQ973690_A/goose/Guangdong/k0103/2010|2010.071","881"
"H5N5_Avian_JQ973675_A/quail/Jiangsu/k0104/2010_China_2010/01/08_1 (PB2)","H5N5","H5","N5","Avian","quail","JQ973675","A/quail/Jiangsu/k0104/2010","Jiangsu","China","EasternAsia","Asia","2010/01/08","2010.01917808219","1 (PB2)","1","gal","Dom","Short","Dom-gal","Dom-gal","Dom-gal","H5N5_Avian_JQ973675_A/quail/Jiangsu/k0104/2010|2010.019","2299"
"H5N5_Avian_JQ973676_A/quail/Jiangsu/k0104/2010_China_2010/01/08_2 (PB1)","H5N5","H5","N5","Avian","quail","JQ973676","A/quail/Jiangsu/k0104/2010","Jiangsu","China","EasternAsia","Asia","2010/01/08","2010.01917808219","2 (PB1)","2","gal","Dom","Short","Dom-gal","Dom-gal","Dom-gal","H5N5_Avian_JQ973676_A/quail/Jiangsu/k0104/2010|2010.019","2341"
"H5N5_Avian_JQ973677_A/quail/Jiangsu/k0104/2010_China_2010/01/08_3 (PA)","H5N5","H5","N5","Avian","quail","JQ973677","A/quail/Jiangsu/k0104/2010","Jiangsu","China","EasternAsia","Asia","2010/01/08","2010.01917808219","3 (PA)","3","gal","Dom","Short","Dom-gal","Dom-gal","Dom-gal","H5N5_Avian_JQ973677_A/quail/Jiangsu/k0104/2010|2010.019","2233"
"H5N5_Avian_JQ973678_A/quail/Jiangsu/k0104/2010_China_2010/01/08_4 (HA)","H5N5","H5","N5","Avian","quail","JQ973678","A/quail/Jiangsu/k0104/2010","Jiangsu","China","EasternAsia","Asia","2010/01/08","2010.01917808219","4 (HA)","4","gal","Dom","Short","Dom-gal","Dom-gal","Dom-gal","H5N5_Avian_JQ973678_A/quail/Jiangsu/k0104/2010|2010.019","1788"
"H5N5_Avian_JQ973679_A/quail/Jiangsu/k0104/2010_China_2010/01/08_5 (NP)","H5N5","H5","N5","Avian","quail","JQ973679","A/quail/Jiangsu/k0104/2010","Jiangsu","China","EasternAsia","Asia","2010/01/08","2010.01917808219","5 (NP)","5","gal","Dom","Short","Dom-gal","Dom-gal","Dom-gal","H5N5_Avian_JQ973679_A/quail/Jiangsu/k0104/2010|2010.019","1565"
"H5N5_Avian_JQ973680_A/quail/Jiangsu/k0104/2010_China_2010/01/08_6 (NA)","H5N5","H5","N5","Avian","quail","JQ973680","A/quail/Jiangsu/k0104/2010","Jiangsu","China","EasternAsia","Asia","2010/01/08","2010.01917808219","6 (NA)","6","gal","Dom","Short","Dom-gal","Dom-gal","Dom-gal","H5N5_Avian_JQ973680_A/quail/Jiangsu/k0104/2010|2010.019","1466"
"H5N5_Avian_JQ973681_A/quail/Jiangsu/k0104/2010_China_2010/01/08_7 (MP)","H5N5","H5","N5","Avian","quail","JQ973681","A/quail/Jiangsu/k0104/2010","Jiangsu","China","EasternAsia","Asia","2010/01/08","2010.01917808219","7 (MP)","7","gal","Dom","Short","Dom-gal","Dom-gal","Dom-gal","H5N5_Avian_JQ973681_A/quail/Jiangsu/k0104/2010|2010.019","1027"
"H5N5_Avian_JQ973682_A/quail/Jiangsu/k0104/2010_China_2010/01/08_8 (NS)","H5N5","H5","N5","Avian","quail","JQ973682","A/quail/Jiangsu/k0104/2010","Jiangsu","China","EasternAsia","Asia","2010/01/08","2010.01917808219","8 (NS)","8","gal","Dom","Short","Dom-gal","Dom-gal","Dom-gal","H5N5_Avian_JQ973682_A/quail/Jiangsu/k0104/2010|2010.019","875"
"H5N5_Avian_CY139837_A/mallard/Minnesota/355811/2000_USA_2000//_4 (HA)","H5N5","H5","N5","Avian","mallard","CY139837","A/mallard/Minnesota/355811/2000","Minnesota","USA","NorthernAmerica","America","2000//","2000.5","4 (HA)","4","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","H5N5_Avian_CY139837_A/mallard/Minnesota/355811/2000|2000.500","1697"
"H5N5_Avian_CY139838_A/mallard/Minnesota/355811/2000_USA_2000//_7 (MP)","H5N5","H5","N5","Avian","mallard","CY139838","A/mallard/Minnesota/355811/2000","Minnesota","USA","NorthernAmerica","America","2000//","2000.5","7 (MP)","7","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","H5N5_Avian_CY139838_A/mallard/Minnesota/355811/2000|2000.500","1002"
"H5N5_Avian_CY139839_A/mallard/Minnesota/355811/2000_USA_2000//_6 (NA)","H5N5","H5","N5","Avian","mallard","CY139839","A/mallard/Minnesota/355811/2000","Minnesota","USA","NorthernAmerica","America","2000//","2000.5","6 (NA)","6","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","H5N5_Avian_CY139839_A/mallard/Minnesota/355811/2000|2000.500","1444"
"H5N5_Avian_CY139840_A/mallard/Minnesota/355811/2000_USA_2000//_5 (NP)","H5N5","H5","N5","Avian","mallard","CY139840","A/mallard/Minnesota/355811/2000","Minnesota","USA","NorthernAmerica","America","2000//","2000.5","5 (NP)","5","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","H5N5_Avian_CY139840_A/mallard/Minnesota/355811/2000|2000.500","1540"
"H5N5_Avian_CY139841_A/mallard/Minnesota/355811/2000_USA_2000//_8 (NS)","H5N5","H5","N5","Avian","mallard","CY139841","A/mallard/Minnesota/355811/2000","Minnesota","USA","NorthernAmerica","America","2000//","2000.5","8 (NS)","8","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","H5N5_Avian_CY139841_A/mallard/Minnesota/355811/2000|2000.500","865"
"H5N5_Avian_CY139842_A/mallard/Minnesota/355811/2000_USA_2000//_3 (PA)","H5N5","H5","N5","Avian","mallard","CY139842","A/mallard/Minnesota/355811/2000","Minnesota","USA","NorthernAmerica","America","2000//","2000.5","3 (PA)","3","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","H5N5_Avian_CY139842_A/mallard/Minnesota/355811/2000|2000.500","2208"
"H5N5_Avian_CY139843_A/mallard/Minnesota/355811/2000_USA_2000//_2 (PB1)","H5N5","H5","N5","Avian","mallard","CY139843","A/mallard/Minnesota/355811/2000","Minnesota","USA","NorthernAmerica","America","2000//","2000.5","2 (PB1)","2","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","H5N5_Avian_CY139843_A/mallard/Minnesota/355811/2000|2000.500","2316"
"H5N5_Avian_CY139844_A/mallard/Minnesota/355811/2000_USA_2000//_1 (PB2)","H5N5","H5","N5","Avian","mallard","CY139844","A/mallard/Minnesota/355811/2000","Minnesota","USA","NorthernAmerica","America","2000//","2000.5","1 (PB2)","1","ans","Wild","Short","Wild-bird","Wild-ans","Wild-ans-short","H5N5_Avian_CY139844_A/mallard/Minnesota/355811/2000|2000.500","2316"
"H5N5_Avian_CY091624_A/duck/Guangdong/wy11/2008_China_2008/06/06_1 (PB2)","H5N5","H5","N5","Avian","duck","CY091624","A/duck/Guangdong/wy11/2008","Guangdong","China","EasternAsia","Asia","2008/06/06","2008.42739726027","1 (PB2)","1","ans","Dom","Short","Dom-ans","Dom-ans","Dom-ans","H5N5_Avian_CY091624_A/duck/Guangdong/wy11/2008|2008.427","2341"
"H5N5_Avian_CY091625_A/duck/Guangdong/wy11/2008_China_2008/06/06_2 (PB1)","H5N5","H5","N5","Avian","duck","CY091625","A/duck/Guangdong/wy11/2008","Guangdong","China","EasternAsia","Asia","2008/06/06","2008.42739726027","2 (PB1)","2","ans","Dom","Short","Dom-ans","Dom-ans","Dom-ans","H5N5_Avian_CY091625_A/duck/Guangdong/wy11/2008|2008.427","2341"
"H5N5_Avian_CY091626_A/duck/Guangdong/wy11/2008_China_2008/06/06_3 (PA)","H5N5","H5","N5","Avian","duck","CY091626","A/duck/Guangdong/wy11/2008","Guangdong","China","EasternAsia","Asia","2008/06/06","2008.42739726027","3 (PA)","3","ans","Dom","Short","Dom-ans","Dom-ans","Dom-ans","H5N5_Avian_CY091626_A/duck/Guangdong/wy11/2008|2008.427","2233"
"H5N5_Avian_CY091627_A/duck/Guangdong/wy11/2008_China_2008/06/06_4 (HA)","H5N5","H5","N5","Avian","duck","CY091627","A/duck/Guangdong/wy11/2008","Guangdong","China","EasternAsia","Asia","2008/06/06","2008.42739726027","4 (HA)","4","ans","Dom","Short","Dom-ans","Dom-ans","Dom-ans","H5N5_Avian_CY091627_A/duck/Guangdong/wy11/2008|2008.427","1776"
"H5N5_Avian_CY091628_A/duck/Guangdong/wy11/2008_China_2008/06/06_5 (NP)","H5N5","H5","N5","Avian","duck","CY091628","A/duck/Guangdong/wy11/2008","Guangdong","China","EasternAsia","Asia","2008/06/06","2008.42739726027","5 (NP)","5","ans","Dom","Short","Dom-ans","Dom-ans","Dom-ans","H5N5_Avian_CY091628_A/duck/Guangdong/wy11/2008|2008.427","1565"
"H5N5_Avian_CY091629_A/duck/Guangdong/wy11/2008_China_2008/06/06_6 (NA)","H5N5","H5","N5","Avian","duck","CY091629","A/duck/Guangdong/wy11/2008","Guangdong","China","EasternAsia","Asia","2008/06/06","2008.42739726027","6 (NA)","6","ans","Dom","Short","Dom-ans","Dom-ans","Dom-ans","H5N5_Avian_CY091629_A/duck/Guangdong/wy11/2008|2008.427","1466"
"H5N5_Avian_CY091630_A/duck/Guangdong/wy11/2008_China_2008/06/06_7 (MP)","H5N5","H5","N5","Avian","duck","CY091630","A/duck/Guangdong/wy11/2008","Guangdong","China","EasternAsia","Asia","2008/06/06","2008.42739726027","7 (MP)","7","ans","Dom","Short","Dom-ans","Dom-ans","Dom-ans","H5N5_Avian_CY091630_A/duck/Guangdong/wy11/2008|2008.427","1027"
"H5N5_Avian_CY091631_A/duck/Guangdong/wy11/2008_China_2008/06/06_8 (NS)","H5N5","H5","N5","Avian","duck","CY091631","A/duck/Guangdong/wy11/2008","Guangdong","China","EasternAsia","Asia","2008/06/06","2008.42739726027","8 (NS)","8","ans","Dom","Short","Dom-ans","Dom-ans","Dom-ans","H5N5_Avian_CY091631_A/duck/Guangdong/wy11/2008|2008.427","875"
"H5N5_Avian_CY091632_A/duck/Guangdong/wy19/2008_China_2008/06/06_1 (PB2)","H5N5","H5","N5","Avian","duck","CY091632","A/duck/Guangdong/wy19/2008","Guangdong","China","EasternAsia","Asia","2008/06/06","2008.42739726027","1 (PB2)","1","ans","Dom","Short","Dom-ans","Dom-ans","Dom-ans","H5N5_Avian_CY091632_A/duck/Guangdong/wy19/2008|2008.427","2341"
"H5N5_Avian_CY091633_A/duck/Guangdong/wy19/2008_China_2008/06/06_2 (PB1)","H5N5","H5","N5","Avian","duck","CY091633","A/duck/Guangdong/wy19/2008","Guangdong","China","EasternAsia","Asia","2008/06/06","2008.42739726027","2 (PB1)","2","ans","Dom","Short","Dom-ans","Dom-ans","Dom-ans","H5N5_Avian_CY091633_A/duck/Guangdong/wy19/2008|2008.427","2341"
"H5N5_Avian_CY091634_A/duck/Guangdong/wy19/2008_China_2008/06/06_3 (PA)","H5N5","H5","N5","Avian","duck","CY091634","A/duck/Guangdong/wy19/2008","Guangdong","China","EasternAsia","Asia","2008/06/06","2008.42739726027","3 (PA)","3","ans","Dom","Short","Dom-ans","Dom-ans","Dom-ans","H5N5_Avian_CY091634_A/duck/Guangdong/wy19/2008|2008.427","2233"
"H5N5_Avian_CY091635_A/duck/Guangdong/wy19/2008_China_2008/06/06_4 (HA)","H5N5","H5","N5","Avian","duck","CY091635","A/duck/Guangdong/wy19/2008","Guangdong","China","EasternAsia","Asia","2008/06/06","2008.42739726027","4 (HA)","4","ans","Dom","Short","Dom-ans","Dom-ans","Dom-ans","H5N5_Avian_CY091635_A/duck/Guangdong/wy19/2008|2008.427","1776"
